Dataset,SiteCode,POC,Date,Latitude,Longitude,Elevation,State,ammNO3f_Val,ammSO4f_Val,ECf_Val,OMCf_Val,RCTM_Val,MF_Val,CM_calculated_Val,RCFM_Val,SeaSaltf_Val,SOILf_Val
IMPAER,ACAD1,1,07/16/2014,44.3771,-68.261,157.3333,ME,0.01625,0.27637,0.009,0.20358,1.73456,0.8193,1.1617,0.57286,0.05364,0.01401
IMPAER,ACAD1,1,07/19/2014,44.3771,-68.261,157.3333,ME,0.07276,0.68791,0.1365,2.3454,6.35669,4.892,2.9796,3.37709,0.03456,0.09996
IMPAER,ACAD1,1,07/22/2014,44.3771,-68.261,157.3333,ME,0.24962,1.36978,0.3499,3.0591,8.40371,6.4555,3.2046,5.19911,0.05112,0.1196
IMPAER,ACAD1,1,07/25/2014,44.3771,-68.261,157.3333,ME,0.13829,0.68516,0.2659,5.53698,10.3511,8.8824,3.5647,6.78636,0.03546,0.12457
IMPAER,ACAD1,1,07/28/2014,44.3771,-68.261,157.3333,ME,0.09082,1.3563,0.1113,1.01664,4.20704,4.0185,1.4886,2.71844,0.10908,0.03431
IMPAER,ACAD1,1,07/31/2014,44.3771,-68.261,157.3333,ME,0.21504,0.99564,0.1475,1.7388,5.88508,4.592,2.6565,3.22858,0.04644,0.08516
IMPAER,ACAD1,1,06/02/2015,44.3771,-68.261,157.3333,ME,0.0556,0.12045,0.0071,0.432,4.35156,0.6949,3.6907,0.66085,0.03474,0.01097
IMPAER,ACAD1,1,06/05/2015,44.3771,-68.261,157.3333,ME,0.10385,0.60789,0.0334,0.79956,5.51478,2.6168,3.8793,1.63548,0.07344,0.01735
IMPAER,ACAD1,1,06/08/2015,44.3771,-68.261,157.3333,ME,0.22214,0.65285,0.0157,1.08864,13.4345,4.9918,10.0057,3.42877,1.33182,0.11762
IMPAER,ACAD1,1,06/11/2015,44.3771,-68.261,157.3333,ME,1.03213,2.82013,0.4782,6.2469,19.5459,13.5553,8.4244,11.1215,0.24516,0.29896
IMPAER,ACAD1,1,06/14/2015,44.3771,-68.261,157.3333,ME,0.03689,0.23664,0.0791,1.63782,8.17158,2.4217,6.0306,2.14098,0.03276,0.11777
IMPAER,ACAD1,1,06/17/2015,44.3771,-68.261,157.3333,ME,0.05057,0.27651,0.0468,0.7704,5.78842,1.809,4.4369,1.35152,0.03366,0.17358
IMPAER,ACAD1,1,06/20/2015,44.3771,-68.261,157.3333,ME,0.05121,0.50655,0.049,1.1466,4.26173,2.4636,2.3822,1.87953,0.02448,0.10168
IMPAER,ACAD1,1,06/23/2015,44.3771,-68.261,157.3333,ME,0.13274,0.84398,0.0742,1.44864,5.88295,3.19,3.02,2.86295,0.3087,0.05469
IMPAER,ACAD1,1,06/26/2015,44.3771,-68.261,157.3333,ME,0.0507,0.23017,0.0252,0.8649,4.2827,1.7262,2.9366,1.3461,0.0288,0.14633
IMPAER,ACAD1,1,06/29/2015,44.3771,-68.261,157.3333,ME,0.14577,0.2409,0.0488,0.88578,3.62898,1.4515,2.2393,1.38968,0.0531,0.01533
IMPAER,ACAD1,1,07/02/2015,44.3771,-68.261,157.3333,ME,0.1668,0.66055,0.1789,2.10816,7.22328,3.7581,3.9652,3.25808,0.0999,0.04377
IMPAER,ACAD1,1,07/05/2015,44.3771,-68.261,157.3333,ME,0.30586,1.41089,0.3419,4.53924,11.4289,8.4459,4.5991,6.82983,0.05796,0.17399
IMPAER,ACAD1,1,07/08/2015,44.3771,-68.261,157.3333,ME,0.20756,1.72205,0.2774,4.00698,11.1309,8.2588,4.462,6.66886,0.09756,0.3573
IMPAER,ACAD1,1,07/11/2015,44.3771,-68.261,157.3333,ME,0.04528,1.07167,0.4558,9.55152,17.0124,14.0913,5.6127,11.3997,0.03276,0.24269
IMPAER,ACAD1,1,07/14/2015,44.3771,-68.261,157.3333,ME,0.09391,1.53065,0.3376,5.54454,11.8647,10.7126,4.1129,7.75177,0.06912,0.17595
IMPAER,ACAD1,1,07/17/2015,44.3771,-68.261,157.3333,ME,0.05805,0.34018,0.0823,1.64502,5.61356,3.024,3.1734,2.44016,0.02736,0.28726
IMPAER,ACAD1,1,07/20/2015,44.3771,-68.261,157.3333,ME,0.03186,0.48702,0.0828,1.10754,2.81415,2.292,1.0721,1.74205,0.00774,0.02508
IMPAER,ACAD1,1,07/23/2015,44.3771,-68.261,157.3333,ME,0.0356,0.29975,0.0939,1.22148,3.32543,2.1575,1.5706,1.75483,0.03384,0.07025
IMPAER,ACAD1,1,07/26/2015,44.3771,-68.261,157.3333,ME,0.09881,1.01283,0.1179,0.87066,3.33106,3.1888,1.1628,2.16826,0.0477,0.02036
IMPAER,ACAD1,1,07/29/2015,44.3771,-68.261,157.3333,ME,0.08075,0.87862,0.2732,4.74354,9.1231,8.3028,2.9747,6.1484,0.02556,0.14672
IMPAER,ACAD1,1,06/02/2016,44.3771,-68.261,157.3333,ME,0.24976,0.48814,0.00679,0.52756,6.06016,2.61387,3.79064,2.26952,0.94646,0.05081
IMPAER,ACAD1,1,06/05/2016,44.3771,-68.261,157.3333,ME,0.04385,0.30217,0.05896,0.57386,1.44936,1.05486,0.4406,1.00876,0.01991,0.01002
IMPAER,ACAD1,1,06/08/2016,44.3771,-68.261,157.3333,ME,0.04818,0.39082,0.07824,1.04771,5.81447,1.79562,4.19951,1.61496,0.00963,0.04039
IMPAER,ACAD1,1,06/11/2016,44.3771,-68.261,157.3333,ME,0.13416,0.59461,0.08375,1.28565,4.85902,2.37596,2.65986,2.19916,0.02041,0.08058
IMPAER,ACAD1,1,06/14/2016,44.3771,-68.261,157.3333,ME,0.02904,0.16455,0.00955,0.7315,4.34213,1.09021,3.36022,0.98191,0.02653,0.02074
IMPAER,ACAD1,1,06/17/2016,44.3771,-68.261,157.3333,ME,0.06496,0.29675,0.08524,1.72989,8.77012,2.37219,6.43145,2.33867,0.01582,0.146
IMPAER,ACAD1,1,06/20/2016,44.3771,-68.261,157.3333,ME,0.44941,0.64243,0.03501,0.92543,10.085,4.70673,6.51535,3.56963,1.40593,0.11142
IMPAER,ACAD1,1,06/23/2016,44.3771,-68.261,157.3333,ME,0.0875,0.53075,0.08576,1.36892,6.43446,3.22245,4.16749,2.26697,0.09754,0.0965
IMPAER,ACAD1,1,06/26/2016,44.3771,-68.261,157.3333,ME,0.04685,0.21069,0.05013,1.2481,3.99456,2.44456,2.29596,1.6986,0.01982,0.123
IMPAER,ACAD1,1,06/29/2016,44.3771,-68.261,157.3333,ME,0.0746,0.54901,0.0424,0.37568,3.32515,1.34238,2.15545,1.1697,0.08494,0.04307
